Movie Name,Release Date,Release day,Genre1,Genre2,Number of faces on poster,Actor1,Populariy1,Actor2,Popularity2,Actor3,popularity3,Popularitytotal,Director,PopulatiryD,Production house,PopularityPH from youtube,Budget,Weekend Collection,No of prequel,Trailer Views,Likes,Dislikes,Likes on Fb page,Anger,Anticipation,disgust,fear,joy,sadness,surprise,Trust,positive,Highest Positive,Highest Negative,IMDB Rating,Cat_IMDB Rating
Batman v Superman: Dawn of Justice  ,3/25/2016,Friday,Action ,Adventure,0,Ben Affleck,1412399,Henry Cavil,781998,Amy Adams,84097,2278494,Zack Snyder,147254,Warner Bros. Pictures,4005839,250000000,166007347,0,68710082,433738,17192,4935086,0.04848485,0.15757576,0.01212121,0.07272727,0.24242424,0.02424242,0.08484848,0.35757576,0.7272727,Trust,Fear,6.9,Average
Captain America: Civil War  ,5/6/2016,Friday,Action ,Adventure,0,Chris Evans,6833324,Robert Downey Jr.,28967494,Scarlett Johansson,1226246,37027064,Joss Whedon,282105,Marvel Entertainment,3728499,250000000,179139142,2,74909018,638789,13945,66483,0.18617021,0.05319149,0.13829787,0.17553191,0.07446809,0.25,0.02659574,0.09574468,0.6106195,Trust,Sadness,7.9,Good
The Legend of Tarzan  ,7/1/2016,Friday,Action ,Adventure,2,Alexander Skarsgard,133424,Rory J Saper,8,Christian Stevens,36,133468,David Yates,12154,Warner Bros. Pictures,4005839,180000000,38135000,0,31240462,122871,6548,601906,0.11149826,0.18466899,0.02090592,0.19163763,0.1358885,0.1010453,0.08013937,0.17421603,0.6597222,Anticipation,Fear,6.3,Average
X-Men: Apocalypse  ,5/27/2016,Friday,Action ,Adventure,6,James McAvoy,111675,Michael Fassbender,650845,Jennifer Lawrence,16477889,17240409,Bryan singer,17857,20th Century Fox,1844065,178000000,65000000,3,52881521,277320,17835,118045,0.04316547,0.14388489,0.03597122,0.12230216,0.24460432,0.09352518,0.0647482,0.25179856,0.7411765,Trust,Fear,7.1,Good
Suicide Squad  ,8/5/2016,Friday,Action ,Adventure,8,Will Smith,75493389,Jaime FitzSimons,475,Margot Robbie,1387835,76881699,David Ayer,6385,Warner Bros. Pictures,4005839,175000000,133682248,0,80946070,636491,18622,7093778,0.12386707,0.20845921,0.04229607,0.12990937,0.16163142,0.10271903,0.10574018,0.12537764,0.5925926,Anticipation,Fear,6.3,Average
The Jungle Book  ,4/15/2016,Friday,Adventure,Drama,0,Neel Sethi,44401,Bill Murray,463662,Ben Kingsley,81189,589252,Jon Favreau,375836,Disney Movie Trailers,1032591,175000000,103261464,0,24002909,86281,4453,1262630,0.06447535,0.19216182,0.01390645,0.27307206,0.17319848,0.04045512,0.0783818,0.16434893,0.7326203,Anticipation,Fear,7.5,Good
Independence Day: Resurgence  ,6/24/2016,Friday,Action ,Adventure,0,Liam Hemsworth,7601494,Jeff Goldblum,141599,Jessie T. Usher ,216107,7959200,Roland Emmerich,258287,20th Century Fox,1844065,165000000,41039944,1,25213314,92189,5827,1652141,0.08048905,0.21803362,0.06877229,0.11767702,0.14340295,0.07055527,0.09679063,0.20427916,0.5834292,Anticipation,Fear,5.3,Average
Godzilla Resurgence  ,7/29/2016,Friday,Action ,Adventure,0,Hiroki Hasegawa,566,Yutaka Takenouchi,36386,Satomi Ishihara,11581,48533,Hideaki Anno|Shinji Higuchi,6022,Zero Media,607817,150000000,455036,0,2400635,13434,1175,7103,0.06818182,0.15909091,0.02272727,0.13636364,0.18181818,0.04545455,0.11363636,0.27272727,0.6666667,Trust,Fear,7,Good
Warcraft  ,6/10/2016,Friday,Action ,Adventure,0,Travis Fimmel,446069,Paula Patton,821416,Ben Foster,21156,1288641,Duncan Jones,18244,Legendary,179321,160000000,24166110,0,24097247,127227,6448,2072564,0.07646356,0.22102748,0.05495818,0.15173238,0.16666667,0.06391876,0.0818399,0.18339307,0.6273585,Anticipation,Fear,7,Good
Ghostbusters  ,7/15/2016,Friday,Action ,Comedy,4,Zach Woods,858,Kristen Wiig,55202,Ed Begley Jr.,5285,61345,Paul Feig,11949,Sony Pictures Entertainment,1402226,144000000,46018755,0,42908375,297676,1044125,3075578,0.10300081,0.20843471,0.07948094,0.12246553,0.13665856,0.10016221,0.08880779,0.16098946,0.5915268,Anticipation,Fear,5.4,Average
Gods of Egypt  ,2/26/2016,Friday,Action ,Adventure,4,Brenton Thwaites,42296,John Samaha,0,Courtney Eaton,73589,115885, Alex Proyas,2458,Movie Clip Trailers,10926930,140000000,14123903,0,23491050,64283,14916,528892,0.08747515,0.19924895,0.07908107,0.11464546,0.1535233,0.11442456,0.05544511,0.19615639,0.5441302,Anticipation,Fear,5.5,Average
The BFG  ,7/1/2016,Friday,Adventure,Family,0,Mark Rylance,2901,Ruby Barnhill,929,Penelope Wilton,1311,5141, Steven Spielberg,641841,Disney Movie Trailers,1032591,140000000,19584969,0,8823171,52147,52147,130134,0.04086413,0.25169183,0.0330557,0.09239979,0.23321187,0.05257678,0.10098907,0.19521083,0.7386066,Anticipation,Fear,6.4,Average
